ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1980,1980-09-07,1,23.298,DET,@,RAM,W 41-20
2,1980,1980-09-21,3,23.312,CLE,,KAN,W 20-13
3,1980,1980-09-28,4,23.319,CLE,@,TAM,W 34-27
4,1980,1980-10-05,5,23.326,CLE,,DEN,L 16-19
5,1980,1980-10-12,6,23.333,CLE,@,SEA,W 27-3
6,1980,1980-10-19,7,23.340,CLE,,GNB,W 26-21
7,1980,1980-10-26,8,23.347,CLE,,PIT,W 27-26
8,1980,1980-11-03,9,23.355,CLE,,CHI,W 27-21
9,1980,1980-11-09,10,23.361,CLE,@,BAL,W 28-27
10,1980,1980-11-16,11,24.002,CLE,@,PIT,L 13-16
11,1980,1980-11-23,12,24.009,CLE,,CIN,W 31-7
12,1980,1980-11-30,13,24.016,CLE,@,HOU,W 17-14
13,1980,1980-12-07,14,24.023,CLE,,NYJ,W 17-14
14,1980,1980-12-14,15,24.030,CLE,@,MIN,L 23-28
15,1980,1980-12-21,16,24.037,CLE,@,CIN,W 27-24
