ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,23.154,GNB,@,JAX,W 27-23,,0,0,,0,0.0,0,0
2,2016,2016-09-18,2,23.161,GNB,@,MIN,L 14-17,,0,0,,0,0.0,0,0
3,2016,2016-09-25,3,23.168,GNB,,DET,W 34-27,,0,0,,0,0.0,0,0
4,2016,2016-10-09,4,23.182,GNB,,NYG,W 23-16,,0,0,,0,0.0,0,0
5,2016,2016-10-16,5,23.189,GNB,,DAL,L 16-30,,0,0,,0,0.0,0,0
6,2016,2016-10-20,6,23.193,GNB,,CHI,W 26-10,,0,0,,0,0.0,0,0
7,2016,2016-10-30,7,23.203,GNB,@,ATL,L 32-33,,0,0,,0,0.0,0,0
8,2016,2016-11-06,8,23.210,GNB,,IND,L 26-31,,0,0,,0,0.0,0,0
9,2016,2016-11-13,9,23.217,GNB,@,TEN,L 25-47,,0,0,,0,0.0,0,0
10,2016,2016-11-20,10,23.224,GNB,@,WAS,L 24-42,,0,0,,0,0.0,0,0
11,2016,2016-11-28,11,23.232,GNB,@,PHI,W 27-13,,0,0,,0,0.0,0,0
12,2016,2016-12-04,12,23.238,GNB,,HOU,W 21-13,,1,0,0.00,0,0.0,0,0
13,2016,2016-12-11,13,23.245,GNB,,SEA,W 38-10,,0,0,,0,0.0,0,0
14,2016,2016-12-18,14,23.252,GNB,@,CHI,W 30-27,,0,0,,0,0.0,0,0
15,2016,2016-12-24,15,23.258,GNB,,MIN,W 38-25,,0,0,,0,0.0,0,0
16,2016,2017-01-01,16,23.266,GNB,@,DET,W 31-24,,0,0,,0,0.0,0,0
17,2017,2017-09-10,1,24.153,GNB,,SEA,W 17-9,,0,0,,0,0.0,0,0
18,2017,2017-09-17,2,24.160,GNB,@,ATL,L 23-34,,0,0,,0,0.0,0,0
19,2017,2017-09-24,3,24.167,GNB,,CIN,W 27-24,*,0,0,,0,0.0,4,0
20,2017,2017-09-28,4,24.171,GNB,,CHI,W 35-14,,0,0,,0,0.0,0,0
21,2017,2017-10-08,5,24.181,GNB,@,DAL,W 35-31,,0,0,,0,0.0,0,0
22,2017,2017-10-15,6,24.188,GNB,@,MIN,L 10-23,,0,0,,0,0.0,1,0
23,2017,2017-10-22,7,24.195,GNB,,NOR,L 17-26,,0,0,,0,0.0,1,1
24,2017,2017-11-06,8,24.210,GNB,,DET,L 17-30,,0,0,,0,0.0,2,0
25,2017,2017-11-12,9,24.216,GNB,@,CHI,W 23-16,,0,0,,0,0.0,1,0
26,2017,2017-11-19,10,24.223,GNB,,BAL,L 0-23,,0,0,,0,0.0,2,0
27,2017,2017-11-26,11,24.230,GNB,@,PIT,L 28-31,,0,0,,0,0.0,0,0
28,2017,2017-12-03,12,24.237,GNB,,TAM,W 26-20,,0,0,,0,0.0,0,0
29,2017,2017-12-10,13,24.244,GNB,@,CLE,W 27-21,,0,0,,0,0.0,0,0
30,2017,2017-12-17,14,24.251,GNB,@,CAR,L 24-31,,0,0,,0,0.0,1,0
31,2017,2017-12-23,15,24.257,GNB,,MIN,L 0-16,,0,0,,0,0.0,0,0
32,2017,2017-12-31,16,24.265,GNB,@,DET,L 11-35,,0,0,,0,0.0,0,0
